          identity_address          |                             friendly_name                              | stake_count |      first_stake       |       last_stake       
 iNvWw4gmXnoD3ruiSBUpbuh2zFiGPZ9nZU | unknown.VRSC@                                                          |          22 | 2023-08-18 01:36:29+01 | 2025-10-23 14:12:57+01
 iNxatrVwtprxf8WzxH4sazj9HMJw7LDxMU | yam.VRSC@                                                              |         198 | 2024-04-12 19:47:13+01 | 2025-10-26 04:28:25+00
 iNxZYjNkzHdL7sbF8fR546N3uN4b46yGiv | NASCAR.VRSC@                                                           |        1512 | 2020-12-08 00:42:47+00 | 2025-10-24 18:41:36+01
 iP13uXQeh9KzbpzR3FT88sJ8XoReEtBacY | I Can Haz.bitcoins.VRSC@                                               |           8 | 2025-01-05 23:29:11+00 | 2025-10-06 17:42:47+01
 iP2r9qaL3HyXu6GuDrmiDdC8TNsdp5R7dC | unknown.VRSC@                                                          |           3 | 2024-03-20 18:21:03+00 | 2024-12-21 08:59:44+00
 iP3MocyN1c8XBLK5j4DfNPBVVZfvLJQiGW | Arbitrage.VRSC@                                                        |          22 | 2023-01-27 18:04:43+00 | 2025-10-06 01:39:34+01
 iP7YcNmN3XgGjeXsPkH7kKUr8ijy7EW5vQ | unknown.VRSC@                                                          |           1 | 2020-09-13 17:02:57+01 | 2020-09-13 17:02:57+01
 iPb4q6g643eJxorCJne9hRqGPvMxgzxhbq | unknown.VRSC@                                                          |          29 | 2021-04-27 23:51:51+01 | 2023-10-06 23:17:52+01
 iPDdj27z3vMhg9uypmKRkiL4c6mJ2rREm9 | unknown.VRSC@                                                          |           2 | 2022-05-23 02:13:54+01 | 2025-05-19 17:49:45+01
 iPdik3JpZYhPWgChQ8F4nKFKo1w1itJJnY | unknown.VRSC@                                                          |           1 | 2022-01-12 07:15:25+00 | 2022-01-12 07:15:25+00
 iPdXAtgNxcnAhvrcDRMgkgkA9PbM7P8dTU | gambit.VRSC@                                                           |           8 | 2022-08-16 13:59:50+01 | 2024-05-18 06:37:19+01
